Artista,Stile Predominante,Numero di Opere
melchior-d-hondecoeter,baroque,14
menez,lyrical abstraction,12
meret-oppenheim,surrealism,6
mestre-ata-de,baroque,15
mher-abeghian,expressionism,2
micaela-eleutheriade,impressionism,14
michael-heizer,minimalism,3
michael-sowa,surrealism,48
michel-carrade,color field painting,17
michel-kikoine,expressionism,17
michel-parmentier,minimalism,10
michel-seuphor,abstract art,15
michel-simonidy,impressionism,5
michelangelo,high renaissance,103
michiel-van-musscher,baroque,32
miguel-cabrera,baroque,21
miguel-rio-branco,abstract expressionism,15
mihai-sarbulescu,expressionism,7
mihaly-munkacsy,realism,29
mihnea-cernat,expressionism,11
mihri-musfik,realism,5
mikalojus-ciurlionis,symbolism,156
mikhail-larionov,naïve art (primitivism),31
mikhail-lebedev,realism,16
mikhail-nesterov,symbolism,77
mikhail-shibanov,neoclassicism,7
mikhail-vrubel,symbolism,70
miklos-barabas,romanticism,32
mildred-anne-butler,impressionism,11
milita-petrascu,expressionism,1
milton-avery,expressionism,13
milton-resnick,abstract expressionism,21
mily-possoz,expressionism,16
mimi-parent,surrealism,22
mira-schendel,minimalism,4
miriam-schapiro,abstract expressionism,6
mod-lyuis,naïve art (primitivism),10
modest-cuixart,art informel,47
mohammad-hadi-tajvidi,academicism,6
moise-kisling,post-impressionism,132
monique-orsini,lyrical abstraction,33
mordecai-ardon,abstract expressionism,6
morris-graves,expressionism,16
morris-louis,color field painting,99
morteza-katouzian,realism,39
morton-shamberg,cubism,4
moshe-kupferman,abstract expressionism,22
mostafa-dashti,abstract expressionism,17
mstislav-dobuzhinsky,symbolism,110
mykhailo-boychuk,expressionism,6
mykola-murashko,realism,13
mykola-pymonenko,realism,29
mykola-samokysh,realism,8
mykola-yaroshenko,realism,31
myron-stout,abstract expressionism,3
n-c-wyeth,realism,35
nabil-kanso,neo-expressionism,5
nadezda-petrovic,post-impressionism,22
nanda-vigo,minimalism,4
naser-ramezani,impressionism,18
nasreen-mohamedi,minimalism,20
nassos-daphnis,expressionism,4
natalia-dumitresco,art informel,15
natalia-goncharova,expressionism,7
nathan-altman,cubism,1
nathan-oliveira,neo-expressionism,24
nathaniel-hone-the-younger,realism,1
neil-welliver,contemporary realism,63
nelson-shanks,contemporary realism,7
nemanja-vuckovic,abstract expressionism,1
neo-rauch,contemporary realism,1
nguyen-dinh-dang,surrealism,7
niccolo-cannicci,impressionism,18
nicholas-hilliard,northern renaissance,15
nicholas-krushenick,pop art,16
nicholas-roerich,symbolism,1130
nicolae-darascu,post-impressionism,33
nicolae-grigorescu,impressionism,26
nicolae-maniu,magic realism,19
nicolae-tonitza,post-impressionism,39
nicolae-vermont,impressionism,31
nicolaes-maes,baroque,66
nicolas-carone,abstract expressionism,10
nicolas-de-sta-l,art informel,30
nicolas-tournier,baroque,5
niele-toroni,minimalism,5
niki-de-sainte-phalle,naïve art (primitivism),4
nikias-skapinakis,pop art,6
niko-pirosmani,naïve art (primitivism),178
nikola-martinoski,post-impressionism,1
nikola-tanev,post-impressionism,14
nikolai-dmitriyevich-kuznetsov,realism,15
nikolai-ge,realism,74
nikolai-kulbin,expressionism,7
nikolaos-gyzis,realism,23
nikolaos-lytras,expressionism,45
nikolaus-knupfer,baroque,9
nikolay-bogdanov-belsky,impressionism,105
nikos-hadjikyriakos-ghikas,cubism,28
nikos-nikolaou,expressionism,26
nina-arbore,post-impressionism,18
nina-tokhtaman-valetova,magic realism,77
noguchi-isamu,abstract expressionism,1
noktys-nokte,post-impressionism,2
norman-ackroyd,contemporary realism,15
norman-bluhm,lyrical abstraction,19
norval-morrisseau,naïve art (primitivism),83
nuno-goncalves,early renaissance,3
nuri-iyem,cubism,1
nutzi-acontz,post-impressionism,12
nyoman-masriadi,neo-expressionism,20
nzante-spee,cubism,7
o-louis-guglielmi,magic realism,24
obnubilant,surrealism,20
octav-angheluta,impressionism,18
octav-bancila,realism,27
octavio-ocampo,surrealism,32
odd-nerdrum,contemporary realism,3
odilon-redon,symbolism,330
ogata-gekko,ukiyo-e,22
oleg-holosiy,expressionism,1
oleksandr-bogomazov,post-impressionism,10
oleksandr-hnylyzkyj,neo-expressionism,3
oleksandr-murashko,realism,13
olennikov-mikhail-zinovevich,realism,20
olexandr-archipenko,cubism,24
olga-albizu,lyrical abstraction,15
olga-rozanova,cubism,22
olivier-debre,lyrical abstraction,39
olivier-mosset,minimalism,8
olusola-david-ayibiowu,realism,3
omer-mujadzic,expressionism,19
omer-uluc,art informel,17
orazio-gentileschi,mannerism (late renaissance),27
orest-kiprensky,romanticism,223
oscar-dominguez,cubism,8
osias-beert,baroque,12
oskar-kokoschka,expressionism,80
osman-hamdi,romanticism,20
ossip-zadkine,expressionism,33
oswald-achenbach,romanticism,32
oswaldo-guayasamin,expressionism,31
oswaldo-vigas,expressionism,1
othon-friesz,fauvism,11
otto-dix,expressionism,47
otto-eckmann,art nouveau (modern),18
otto-freundlich,abstract art,11
otto-gustav-carlsund,art nouveau (modern),6
otto-marseus-van-schrieck,baroque,7
otto-mueller,expressionism,181
otto-myul,expressionism,6
otto-piene,lyrical abstraction,1
otto-van-veen,mannerism (late renaissance),8
ottone-rosai,expressionism,23
owen-jones,art nouveau (modern),101
oyvind-fahlstrom,pop art,7
ozdemir-atlan,art informel,10
pablo-picasso,surrealism,254
palma-il-giovane,mannerism (late renaissance),137
palma-vecchio,high renaissance,26
panayiotis-tetsis,post-impressionism,37
panos-terlemezian,realism,5
paolo-scheggi,art informel,9
paolo-uccello,early renaissance,64
paolo-veronese,mannerism (late renaissance),152
paritosh-sen,expressionism,17
park-seo-bo,minimalism,18
parmigianino,mannerism (late renaissance),44
pat-lipsky,lyrical abstraction,7
patricia-jaqueline,realism,2
patrick-caulfield,pop art,28
patrick-henry-bruce,cubism,13
patrick-heron,art informel,5
patrick-pietropoli,contemporary realism,38
patrick-procktor,pop art,21
paul-ackerman,cubism,3
paul-albert-besnard,impressionism,83
paul-brach,minimalism,16
paul-bril,baroque,22
paul-cezanne,post-impressionism,315
paul-delaroche,academicism,12
paul-delvaux,surrealism,106
paul-emile-chabas,impressionism,3
paul-feeley,color field painting,40
paul-gauguin,post-impressionism,237
paul-gavarni,romanticism,2
paul-guiragossian,expressionism,13
paul-henry,post-impressionism,9
paul-jacoulet,ukiyo-e,154
paul-jenkins,abstract expressionism,12
paul-kane,romanticism,37
paul-klee,expressionism,94
paul-leroy,academicism,6
paul-mathiopoulos,art nouveau (modern),20
paul-nash,expressionism,41
paul-paun,surrealism,2
paul-peel,academicism,28
paul-ranson,art nouveau (modern),23
paul-reed,abstract expressionism,23
paul-revere,rococo,26
paul-serusier,post-impressionism,12
paul-signac,impressionism,37
paul-thek,pop art,5
paul-wonner,neo-expressionism,19
paul-wunderlich,surrealism,6
paula-klien,lyrical abstraction,32
paula-modersohn-becker,expressionism,94
paula-rego,expressionism,21
pauline-boty,pop art,10
paulo-fontes,abstract expressionism,15
pavel-fedotov,realism,41
pavel-filonov,naïve art (primitivism),4
pavel-svinyin,romanticism,50
peder-balke,romanticism,9
peder-severin-kroyer,impressionism,36
pedro-calapez,color field painting,16
pedro-coronel,abstract expressionism,9
pericles-pantazis,impressionism,24
periklis-vyzantios,post-impressionism,15
perle-fine,abstract expressionism,25
peter-alexander,neo-expressionism,14
peter-blake,pop art,33
peter-busa,abstract expressionism,4
peter-doig,magic realism,42
peter-downsbrough,minimalism,6
peter-dreher,contemporary realism,10
peter-joseph,minimalism,13
peter-max,pop art,21
peter-nicolai-arbo,romanticism,6
peter-paul-rubens,baroque,332
peter-phillips,pop art,15
petre-abrudan,expressionism,8
petre-oc-xeli,expressionism,1
petro-kholodny-elder,impressionism,4
petros-malayan,expressionism,4
petrus-christus,northern renaissance,27
pettoruti,cubism,4
phil-sims,minimalism,12
philip-de-laszlo,impressionism,13
philip-guston,neo-expressionism,45
philip-pearlstein,contemporary realism,15
philip-wilson-steer,impressionism,41
philipp-otto-runge,romanticism,23
piero-della-francesca,early renaissance,87
piero-di-cosimo,high renaissance,19
piero-dorazio,color field painting,10
piero-manzoni,minimalism,4
pierre-alechinsky,neo-expressionism,80
pierre-auguste-renoir,impressionism,1372
pierre-bonnard,post-impressionism,162
pierre-daura,post-impressionism,9
pierre-emmanuel-damoye,impressionism,14
pierre-henri-de-valenciennes,neoclassicism,15
pierre-jacques-pelletier,impressionism,19
pierre-narcisse-guerin,neoclassicism,35
pierre-paul-prud-hon,neoclassicism,48
pierre-puvis-de-chavannes,symbolism,53
pierre-roy,magic realism,9
pierre-soulages,minimalism,19
pierre-tal-coat,art informel,22
piet-mondrian,impressionism,29
pieter-aertsen,northern renaissance,16
pieter-bruegel-the-elder,northern renaissance,65
pieter-brueghel-the-younger,northern renaissance,73
pieter-claesz,baroque,36
pieter-codde,baroque,35
pieter-de-hooch,baroque,47
pieter-van-hanselaere,neoclassicism,8
pieter-wenning,impressionism,15
pietro-da-cortona,baroque,23
pietro-lazzari,expressionism,9
pietro-longhi,rococo,70
pietro-perugino,high renaissance,122
pinchus-kremegne,expressionism,12
pino-daeni,impressionism,6
pino-pinelli,minimalism,18
pinturicchio,high renaissance,15
piotr-michalowski,romanticism,15
piroska-szanto,surrealism,23
pisanello,early renaissance,15
pival,surrealism,1
placido-costanzi,baroque,10
plautilla-nelli,mannerism (late renaissance),7
pol-bury,abstract expressionism,5
polychronis-lembesis,romanticism,24
pompeo-batoni,rococo,53
pratap-singh,abstract art,19
princess-fahrelnissa-zeid,expressionism,12
prudence-heward,expressionism,24
pyotr-konchalovsky,post-impressionism,346
quentin-matsys,northern renaissance,36
r-b-kitaj,pop art,17
rachel-ruysch,baroque,33
raden-saleh,romanticism,17
radi-nedelchev,naïve art (primitivism),25
rafa-nasiri,abstract expressionism,18
rafael-ferran,abstract art,2
rafael-zabaleta,expressionism,42
rafal-bujnowski,contemporary realism,1
rainer-fetting,neo-expressionism,10
raiskina-marina,fauvism,57
raja-ravi-varma,academicism,50
ralph-blakelock,romanticism,1
ralph-earl,rococo,12
ralph-goings,pop art,4
ralph-hedley,realism,13
ralph-hotere,abstract expressionism,10
ralph-rosenborg,abstract expressionism,13
ramon-casas,impressionism,12
ramon-oviedo,expressionism,23
raoul-de-keyser,color field painting,4
raoul-dufy,post-impressionism,56
raoul-ubac,abstract expressionism,25
raphael,high renaissance,158
raphael-delorme,art deco,25
raphael-kirchner,art nouveau (modern),460
rashid-al-khalifa,abstract art,17
ray-parker,color field painting,16
red-grooms,pop art,17
rembrandt,baroque,568
rembrandt-peale,neoclassicism,69
remedios-varo,surrealism,103
renato-guttuso,expressionism,18
rene-bertholo,pop art,11
rene-duvillier,lyrical abstraction,34
rene-magritte,surrealism,314
rene-marcil,lyrical abstraction,5
requena-nozal,abstract expressionism,31
reuben-nakian,expressionism,3
reza-rahimi-lasko,contemporary realism,1
richard-artschwager,minimalism,2
richard-dadd,romanticism,11
richard-diebenkorn,abstract expressionism,35
richard-eurich,neo-romanticism,17
richard-gerstl,expressionism,38
richard-hambleton,abstract expressionism,9
richard-hamilton,pop art,33
richard-jack,impressionism,41
richard-mortensen,art informel,3
richard-oelze,surrealism,15
richard-parkes-bonington,romanticism,40
richard-pousette-dart,abstract expressionism,42
richard-serra,minimalism,5
richard-smith,abstract expressionism,1
richard-spare,neo-expressionism,19
richard-tuttle,minimalism,13
richard-whitney,contemporary realism,35
richard-wilson,rococo,25
richards-ruben,abstract expressionism,18
rik-wouters,fauvism,22
rita-angus,abstract art,1
robert-bateman,romanticism,5
robert-brackman,realism,24
robert-campin,northern renaissance,36
robert-delaunay,post-impressionism,2
robert-falk,expressionism,4
robert-goodnough,abstract expressionism,40
robert-grosvenor,minimalism,4
robert-harris,realism,7
robert-huot,minimalism,9
robert-indiana,pop art,21
robert-julian-onderdonk,impressionism,127
robert-lewis-reid,impressionism,82
robert-mangold,minimalism,36
robert-montenegro,expressionism,3
robert-nickle,abstract expressionism,13
robert-qualters,neo-expressionism,14
robert-rauschenberg,pop art,20
robert-ryman,minimalism,39
robert-silvers,pop art,38
robert-spencer,impressionism,79
robert-william-buss,romanticism,23
roberto-aizenberg,surrealism,6
roberto-matta,surrealism,22
roberto-sambonet,pop art,3
rockwell-kent,art nouveau (modern),4
roderic-oconor,post-impressionism,25
rodolfo-amoedo,romanticism,13
rodolfo-arico,minimalism,18
roger-bissi-re,art informel,25
roger-de-la-fresnaye,cubism,20
roger-fry,post-impressionism,18
roger-raveel,neo-expressionism,14
roger-weik,abstract expressionism,365
rogier-van-der-weyden,northern renaissance,90
roland-petersen,neo-expressionism,8
roman-cotosman,minimalism,9
roman-selsky,post-impressionism,17
romare-bearden,abstract expressionism,5
romul-nutiu,art informel,4
ron-gorchov,color field painting,12
ronald-bladen,minimalism,2
ronald-davis,abstract expressionism,2
roni-horn,minimalism,1
ronnie-landfield,lyrical abstraction,74
rosa-bonheur,realism,56
rosalba-carriera,rococo,32
rosalyn-drexler,pop art,16
rosario-weiss-zorrilla,romanticism,26
rosso-fiorentino,mannerism (late renaissance),18
roy-lichtenstein,pop art,83
rubens-santoro,realism,14
rudolf-bauer,abstract art,13
rudolf-ber,expressionism,15
rudolf-de-crignis,minimalism,24
rudolf-ernst,romanticism,3
rudolf-lang,expressionism,39
rudolf-schweitzer-cumpana,impressionism,61
rudolf-von-alt,romanticism,77
rufino-tamayo,expressionism,9
rune-jansson,art informel,19
rupert-bunny,impressionism,44
rupprecht-geiger,color field painting,21
ruth-vollmer,minimalism,6
ryuzaburo-umehara,post-impressionism,11
s-h-raza,abstract art,16
sa-nogueira,expressionism,5
sabin-balasa,surrealism,64
sadamasa-motonaga,art informel,25
sallinen-tyko,expressionism,20
salomon-koninck,baroque,16
salomon-van-ruysdael,baroque,92
salvador-dali,surrealism,564
salvator-rosa,baroque,73
sam-francis,abstract expressionism,230
sam-gilliam,lyrical abstraction,28
samira-eskandarfar,surrealism,1
samuel-bak,surrealism,17
samuel-buri,pop art,11
samuel-dirksz-van-hoogstraten,baroque,17
samuel-morse,romanticism,49
samuel-mutzner,impressionism,49
samuel-palmer,romanticism,36
samuel-peploe,post-impressionism,208
samuel-schwarz,expressionism,2
sandor-bortnyik,cubism,3
sandro-botticelli,early renaissance,123
sandu-darie,art informel,2
santiago-rusinol,post-impressionism,21
sarunas-sauka3,surrealism,10
sassetta,early renaissance,12
saturnino-herran,art nouveau (modern),6
saul-steinberg,expressionism,19
se-ok-suh,art informel,16
sean-scully,color field painting,7
sebastiano-conca,baroque,23
sebastiano-del-piombo,high renaissance,43
sebastien-bourdon,baroque,14
sedrak-arakelyan,realism,5
seraphine-louis,naïve art (primitivism),14
serge-brignoni,surrealism,15
serge-charchoune,abstract art,12
serge-sudeikin,art nouveau (modern),26
sergei-parajanov,pop art,6
sergey-belik,magic realism,15
sergey-solomko,art nouveau (modern),122
sergio-illuminato,art informel,25
sergiy-grigoriev,impressionism,11
sever-burada,impressionism,13
sheila-finch,impressionism,1
sherrie-levine,abstract expressionism,1
shibata-zeshin,ukiyo-e,36
shozo-shimamoto,art informel,4
sidney-amaral,neo-expressionism,6
sidney-nolan,surrealism,6
sigmar-polke,pop art,1
silvestr-shchedrin,neoclassicism,4
silvestre,abstract expressionism,3
silvestro-lega,realism,30
simeon-solomon,romanticism,26
simeon-velkov,realism,9
simon-de-vlieger,baroque,33
simon-hantai,art informel,6
simon-ushakov,baroque,14
simon-vouet,baroque,5
sir-lawrence-alma-tadema,romanticism,176
sir-william-russell-flint,art deco,1
sirak-skitnik,expressionism,14
sloba-pajkovic,expressionism,8
sm-sultan,expressionism,3
sofia-areal,abstract art,2
sofonisba-anguissola,mannerism (late renaissance),22
sohrab-sepehri,neo-expressionism,20
sol-lewitt,minimalism,23
soledad-sevilla,lyrical abstraction,4
solomon-joseph-solomon,academicism,10
soltan-soltanli,magic realism,12
sonaly-gandhi,pop art,27
sonia-delaunay,fauvism,3
sonya-rapoport,abstract expressionism,1
sophie-gengembre-anderson,romanticism,10
sophie-taeuber-arp,abstract art,6
sorin-dumitrescu,surrealism,4
sorin-ilfoveanu,surrealism,15
spyros-papaloukas,expressionism,32
stanislaw-ignacy-witkiewicz,expressionism,5
stanislaw-szukalski,art deco,18
stanislaw-wyspianski,expressionism,22
stanley-boxer,lyrical abstraction,22
stanley-pinker,cubism,6
stanley-spencer,neo-romanticism,270
stefan-caltia,magic realism,43
stefan-dimitrescu,post-impressionism,18
stefan-luchian,impressionism,64
stefan-popescu,impressionism,37
stephen-antonakos,minimalism,1
stephen-mueller,abstract expressionism,8
steve-kaufman,pop art,7
stig-brogger,abstract art,10
stuart-davis,cubism,5
sun-mu,pop art,4
susan-rothenberg,neo-expressionism,15
suzanne-duchamp,expressionism,2
suzanne-valadon,post-impressionism,49
sven-jonson,surrealism,25
svetlana-kanyo,contemporary realism,7
sydney-laurence,romanticism,16
t-c-steele,impressionism,76
tadanori-yokoo,pop art,6
tahir-salahov,expressionism,8
takamatsu-jiro,minimalism,4
tamara-de-lempicka,art deco,84
tamas-ervin,lyrical abstraction,21
tano-festa,pop art,24
tanya-stepanenko,realism,3
taras-shevchenko,romanticism,71
taro-okamoto,surrealism,6
taro-yamamoto,abstract expressionism,13
tarsila-do-amaral,naïve art (primitivism),22
telemaco-signorini,realism,25
teodor-axentowicz,art nouveau (modern),16
teodor-harsia,expressionism,10
terry-frost,abstract expressionism,30
tess-jaray,minimalism,1
tetsuya-ishida,surrealism,10
tetyana-yablonska,impressionism,32
thalia-flora-karavia,impressionism,14
the-game-of-marseille,surrealism,17
theo-gerber,surrealism,13
theo-van-doesburg,expressionism,31
theo-van-rysselberghe,post-impressionism,65
theodoor-van-thulden,baroque,14
theodor-aman,academicism,5
theodor-pallady,impressionism,45
theodor-philipsen,impressionism,23
theodor-severin-kittelsen,neo-romanticism,249
theodore-chasseriau,romanticism,5
theodore-gericault,romanticism,83
theodore-robinson,impressionism,12
theodore-roszak,abstract art,1
theodore-rousseau,realism,145
theodoros-stamos,color field painting,60
theodule-ribot,realism,36
theophile-steinlen,realism,538
theophilus-brown,neo-expressionism,14
theophrastos-triantafyllidis,impressionism,23
thiago-boecan,neo-expressionism,16
thomas-cole,romanticism,131
thomas-couture,romanticism,13
thomas-dewing,realism,14
thomas-downing,color field painting,1
thomas-eakins,realism,240
thomas-fearnley,romanticism,1
thomas-francis-dicksee,romanticism,3
thomas-gainsborough,rococo,179
thomas-girtin,romanticism,40
thomas-hardy,baroque,17
thomas-hart-benton,post-impressionism,3
thomas-hill,romanticism,96
thomas-jones,romanticism,28
thomas-jones-barker,romanticism,25
thomas-kinkade,impressionism,2
thomas-lawrence,romanticism,166
thomas-moran,romanticism,45
thomas-nonn,abstract art,4
thomas-pollock-anshutz,impressionism,16
thomas-smith,baroque,3
thomas-stuart-smith,romanticism,12
thomas-sully,romanticism,117
thomas-theodor-heine,art nouveau (modern),16
tia-peltz,expressionism,35
tiberiy-szilvashi,abstract art,51
tihamer-gyarmathy,abstract art,34
tino-riveiro,surrealism,6
tintoretto,mannerism (late renaissance),204
titian,high renaissance,127
tivadar-kosztka-csontvary,post-impressionism,21
tobias-stranover,baroque,13
tobias-verhaecht,northern renaissance,8
toby-edward-rosenthal,academicism,14
toko-shinoda,abstract expressionism,25
tom-roberts,impressionism,93
tom-scott,realism,22
tom-thomson,post-impressionism,20
tony-delap,minimalism,10
tony-scherman,neo-expressionism,11
tony-smith,minimalism,2
toshi-yoshida,abstract art,4
toshusai-sharaku,ukiyo-e,2
tourino,cubism,1
toyen,expressionism,44
toyohara-chikanobu,ukiyo-e,8
toyota-hokkei,ukiyo-e,44
tran-van-can,post-impressionism,8
troubat-georges,abstract art,3
tsuguharu-foujita,magic realism,121
tsukioka-yoshitoshi,ukiyo-e,56
tsuruko-yamazaki,abstract expressionism,8
twins-seven-seven,naïve art (primitivism),29
ulfert-wilke,abstract expressionism,11
umberto-boccioni,expressionism,9
utagawa-kunisada,ukiyo-e,56
utagawa-kunisada-ii,ukiyo-e,8
utagawa-kuniyoshi,ukiyo-e,288
utagawa-sadatora,ukiyo-e,13
utagawa-toyokuni,ukiyo-e,17
utagawa-toyokuni-ii,ukiyo-e,22
vadym-meller,cubism,5
vajda-lajos,surrealism,19
valentin-serov,realism,114
valentine-hugo,surrealism,12
valeria-trubina,neo-expressionism,2
valerio-adami,pop art,11
vanessa-bell,post-impressionism,17
vangel-naumovski,surrealism,21
vardges-sureniants,symbolism,4
varlin,expressionism,36
vartan-mahokian,realism,6
vasan-sitthiket,neo-expressionism,11
vasile-dobrian,abstract expressionism,15
vasile-kazar,expressionism,38
vasile-popescu,impressionism,17
vasiliy-ryabchenko,neo-expressionism,12
vasily-perov,realism,180
vasily-polenov,realism,150
vasily-sadovnikov,realism,27
vasily-surikov,realism,232
vasily-tropinin,romanticism,84
vasily-vereshchagin,realism,61
vasyl-sedlyar,expressionism,7
vasyl-yermylov,naïve art (primitivism),4
vela-zanetti,expressionism,2
veniamin-kremer,realism,7
vera-nedkova,expressionism,11
vicente-juan-masip,mannerism (late renaissance),17
vicente-manansala,cubism,22
victor-borisov-musatov,impressionism,30
victor-brauner,surrealism,103
victor-hugo,symbolism,23
victor-meirelles,romanticism,7
victor-palmov,naïve art (primitivism),12
victor-pasmore,abstract expressionism,9
victor-servranckx,abstract art,6
victor-vasarely,abstract art,10
victor-zaretsky,art nouveau (modern),22
vieira-portuense,neoclassicism,5
viktor-oliva,impressionism,2
viktor-vasnetsov,realism,72
vilhelm-hammershoi,impressionism,3
vilhelm-lundstrom,cubism,10
vilhelms-purvitis,impressionism,13
vilho-lampi,expressionism,15
vilmos-aba-novak,expressionism,20
vincent-amicosante,magic realism,1
vincent-van-gogh,post-impressionism,997
vincenzo-camuccini,academicism,7
viorel-marginean,expressionism,29
virginia-frances-sterrett,art nouveau (modern),88
vittore-carpaccio,high renaissance,53
vlada-ralko,neo-expressionism,39
vladimir-borovikovsky,rococo,98
vladimir-dimitrov,post-impressionism,33
vladimir-loboda,expressionism,7
vladimir-makovsky,realism,113
vladimir-tatlin,cubism,6
vlady-kibalchich-rusakov,surrealism,7
vog,realism,7
volodymyr-orlovsky,realism,64
vsevolod-maksymovych,art nouveau (modern),9
vyacheslav-nazaruk,art nouveau (modern),13
vytautas-kairiukstis,cubism,11
vytautas-kasiulis,expressionism,9
wade-guyton,minimalism,5
walasse-ting,abstract expressionism,7
walter-battiss,expressionism,20
walter-crane,neo-romanticism,86
walter-darby-bannard,color field painting,9
walter-gramatte,expressionism,61
walter-osborne,impressionism,5
walter-sickert,impressionism,42
wanda-koop,contemporary realism,3
warren-rohrer,minimalism,25
wassily-kandinsky,abstract art,137
wayne-thiebaud,pop art,44
wenceslaus-hollar,baroque,8
werner-berg,expressionism,66
werner-peiner,expressionism,9
wifredo-lam,surrealism,18
wilfredo-argueta-hernandez,contemporary realism,5
wilhelm-kotarbinski,art nouveau (modern),105
wilhelm-leibl,realism,21
wilhelm-sasnal,pop art,4
wilhelm-trubner,realism,9
wilhelm-von-kaulbach,romanticism,52
willard-metcalf,impressionism,122
willem-cornelisz-duyster,baroque,22
willem-de-kooning,abstract expressionism,76
willem-kalf,baroque,20
willem-van-aelst,baroque,13
willem-van-swanenburg,baroque,6
willi-baumeister,abstract art,44
william-adolphe-bouguereau,neoclassicism,137
william-barnes-wollen,romanticism,2
william-baziotes,abstract expressionism,29
william-blake,symbolism,111
william-bradford,romanticism,79
william-collins,romanticism,69
william-congdon,abstract expressionism,15
william-dobson,baroque,22
william-gilbert-foster,romanticism,16
william-h-johnson,naïve art (primitivism),46
william-hamilton,neoclassicism,28
william-hart,romanticism,35
william-hawkins,naïve art (primitivism),28
william-henry-huddle,romanticism,8
william-hogarth,rococo,102
william-holbrook-beard,romanticism,13
william-holman-hunt,romanticism,35
william-james-glackens,impressionism,52
william-leighton-leitch,romanticism,35
william-merritt-chase,impressionism,306
william-michael-harnett,realism,2
william-morris,romanticism,15
william-orpen,post-impressionism,63
william-saroyan,abstract expressionism,12
william-scott,abstract expressionism,26
william-shayer,romanticism,54
william-shiels,romanticism,20
william-simpson,realism,2
william-turnbull,abstract expressionism,7
william-turner,romanticism,209
william-williams,rococo,24
winifred-nicholson,post-impressionism,9
winslow-homer,realism,133
winston-churchill,impressionism,75
wladyslaw-strzeminski,abstract art,11
wlodzimierz-zakrzewski,realism,21
wojciech-fangor,cubism,2
wojciech-weiss,post-impressionism,6
wolfgang-paalen,surrealism,11
wols,surrealism,19
wyndham-lewis,expressionism,17
xu-beihong,post-impressionism,14
xul-solar,surrealism,34
yasuo-kuniyoshi,expressionism,84
yayoi-kusama,minimalism,1
yeghishe-tadevosyan,impressionism,2
yervand-kochar,expressionism,3
yiannis-moralis,expressionism,36
yiannis-tsaroychis,expressionism,45
youssef-idrissi,realism,2
yov-kondzelevych,baroque,17
yu-youhan,pop art,21
yui-yaegashi,minimalism,15
yun-hyong-keun,minimalism,9
yuriy-zlotnikov,abstract art,32
yves-gaucher,minimalism,19
yves-klein,minimalism,22
yves-laloy,surrealism,12
yves-tanguy,surrealism,22
zakar-zakarian,realism,2
zao-wou-ki,art informel,20
zaya,magic realism,16
zdislav-beksinski,surrealism,705
zhan-benner,academicism,9
zhang-xiaogang,magic realism,13
zinaida-serebriakova,expressionism,201
zoe-lerman,post-impressionism,21
zupo-zupo,abstract art,1
